r1_domain,r2_domain,r1_h_index,r2_h_index,r1_publications,r2_publications,r1_years_experience,r2_years_experience,r1_institution,r2_institution,r1_country,r2_country,r1_citations,r2_citations,r1_grants,r2_grants,shared_keywords,same_domain,same_institution_type,same_country,h_index_diff,experience_diff,total_grants,avg_publications,compatibility_score,compatible
Computer Vision,Bioinformatics,11,19,28,45,7,12,IIT,NIT,Canada,USA,644,450,6,1,1,0,0,0,8,5,7,36.5,37,0
NLP,Cloud Computing,10,9,16,27,27,7,IIT,IIT,Canada,Australia,224,351,2,6,1,0,1,0,1,20,8,21.5,43,0
Cybersecurity,Computer Vision,9,15,34,37,2,18,IIT,NIT,India,USA,816,444,6,3,1,0,0,0,6,16,9,35.5,35,0
Cloud Computing,Cloud Computing,10,10,19,37,12,23,Research Institute,NIT,India,Canada,114,444,9,4,6,1,0,0,0,11,13,28.0,87,1
Cloud Computing,IoT,15,4,26,28,25,1,Private University,Research Institute,USA,UK,286,252,8,9,0,0,0,0,11,24,17,27.0,50,0
Machine Learning,Cybersecurity,14,16,31,38,23,15,NIT,Central University,Canada,UK,279,684,2,2,0,0,0,0,2,8,4,34.5,54,0
NLP,Computer Vision,3,19,21,27,15,5,NIT,IIT,UK,Germany,294,297,2,3,0,0,0,0,16,10,5,24.0,38,0
Computer Vision,Quantum Computing,15,16,38,49,28,7,Central University,Central University,UK,India,608,245,3,0,0,0,1,0,1,21,3,43.5,49,0
IoT,Cybersecurity,9,6,21,19,5,24,Research Institute,IIT,India,Australia,105,247,2,3,0,0,0,0,3,19,5,20.0,51,0
Bioinformatics,Quantum Computing,6,4,32,23,5,5,Research Institute,NIT,UK,Canada,672,115,7,0,0,0,0,0,2,0,7,27.5,51,0
Computer Vision,Robotics,28,2,69,14,23,6,IIT,Central University,Canada,India,1035,210,7,0,0,0,0,0,26,17,7,41.5,27,0
Robotics,Bioinformatics,17,13,32,35,26,11,IIT,Private University,Germany,Canada,224,770,2,6,0,0,0,0,4,15,8,33.5,39,0
Data Science,Data Science,1,11,30,30,28,23,NIT,NIT,UK,Canada,630,390,1,8,6,1,1,0,10,5,9,30.0,80,1
Bioinformatics,NLP,11,16,35,22,8,25,IIT,Research Institute,Australia,Canada,280,484,5,1,1,0,0,0,5,17,6,28.5,37,0
Robotics,Cybersecurity,16,5,41,32,21,16,NIT,Central University,Germany,Canada,820,512,3,2,1,0,0,0,11,5,5,36.5,45,0
Cloud Computing,Data Science,14,11,32,27,27,29,NIT,IIT,Canada,USA,192,540,4,2,1,0,0,0,3,2,6,29.5,57,1
Machine Learning,Bioinformatics,31,7,38,30,28,1,Central University,IIT,Germany,USA,494,720,4,4,1,0,0,0,24,27,8,34.0,22,0
Quantum Computing,IoT,8,4,28,28,26,27,Central University,Private University,USA,Canada,196,392,7,1,1,0,0,0,4,1,8,28.0,56,1
IoT,NLP,4,5,26,23,10,13,NIT,NIT,UK,Canada,182,552,1,0,1,0,1,0,1,3,1,24.5,53,0
Cloud Computing,Quantum Computing,14,13,30,28,2,15,Research Institute,Private University,UK,Australia,690,420,8,4,0,0,0,0,1,13,12,29.0,52,0
Cybersecurity,NLP,12,4,35,10,13,19,Central University,Research Institute,USA,Germany,840,90,2,9,0,0,0,0,8,6,11,22.5,40,0
Computer Vision,NLP,9,7,17,50,25,29,IIT,NIT,India,Canada,204,350,4,9,1,0,0,0,2,4,13,33.5,68,1
Cybersecurity,Cybersecurity,10,13,32,29,26,10,Research Institute,Private University,India,Australia,640,261,4,3,6,1,0,0,3,16,7,30.5,89,1
